problem,crossoverProb,mutationProb,nMutatedGenes,maxISteps,execution,nGenerations,nFitnessEvaluations,bestFitness
./problems/s100, 0.600000, 0.010000, 1, 1000000, 50, -1, 4878, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 51, -1, 342, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 52, -1, 7072, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 53, -1, 4538, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 54, -1, 4602, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 55, -1, 9423, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 56, -1, 3911, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 57, -1, 12452, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 58, -1, 6050, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 59, -1, 31833, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 60, -1, 427, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 61, -1, 550, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 62, -1, 3074, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 63, -1, 57855, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 64, -1, 1719, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 65, -1, 5541, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 66, -1, 942, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 67, -1, 1437, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 68, -1, 289, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 69, -1, 6014, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 70, -1, 2542, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 71, -1, 788, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 72, -1, 307, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 73, -1, 5669, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 74, -1, 193, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 75, -1, 368, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 76, -1, 2978, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 77, -1, 6409, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 78, -1, 13345, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 79, -1, 589, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 80, -1, 11091, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 81, -1, 3146, 19569.000000
